0,warehouse,MP_HACKNEY_AM/CALLOUT_WAREHOUSE,area,
1,office,MP_HACKNEY_AM/CALLOUT_OFFICE,area,
2,road,MP_HACKNEY_AM/CALLOUT_ROAD,area,
3,tire_shop,MP_HACKNEY_AM/CALLOUT_TIRE_SHOP,area,
4,parking,MP_HACKNEY_AM/CALLOUT_PARKING,area,
5,red_truck,MP_HACKNEY_AM/CALLOUT_RED_TRUCK,area,
6,cargo_land,MP_HACKNEY_AM/CALLOUT_CARGO_LAND,area,
7,smokestack,MP_HACKNEY_AM/CALLOUT_SMOKESTACK,area,
8,phonebooth,MP_HACKNEY_AM/CALLOUT_PHONEBOOTH,area,
9,yellow_building,MP_HACKNEY_AM/CALLOUT_YELLOW_BUILDING,area,
10,rooftop,MP_HACKNEY_AM/CALLOUT_ROOFTOP,area,
11,caravan,MP_HACKNEY_AM/CALLOUT_CARAVAN,area,
12,dock_building,MP_HACKNEY_AM/CALLOUT_DOCK_BUILDING,area,
14,dock_yard,MP_HACKNEY_AM/CALLOUT_DOCK_YARD,area,
15,fork_lift,MP_HACKNEY_AM/CALLOUT_FORK_LIFT,area,
16,abandoned_building,MP_HACKNEY_AM/CALLOUT_ABANDONED_BUILDING,area,
17,yellow_truck,MP_HACKNEY_AM/CALLOUT_YELLOW_TRUCK,area,
