18117137,reflexmini,0,0,0,0,,,
28171504,comp,0,0,0,0,,,
22621610,barlong,0,0,0,0,,,
19718256,laserads,0,0,0,0,,,
29567705,gripvert,0,0,0,0,,,
24283172,reflex,0,0,0,0,,,
26538334,xmags,0,0,0,0,24273430,1,
21571854,pistolgrip03,0,0,0,0,,,
30153876,stockl,0,0,0,0,,,
32266965,silencer3,0,0,0,0,,,
28011144,holo2,0,0,0,0,,,
23731375,barshort,0,0,0,0,,,
24746273,laser,0,0,0,0,,,
29262236,gripangpro,0,0,0,0,,,
25594985,fastmags,0,0,0,0,20712314,1,
23460743,acog,0,0,0,0,,,
20740181,pistolgrip05,0,0,0,0,,,
24892603,stocks,0,0,0,0,,,
25690696,silencer,0,0,0,0,,,
23754040,barmid,0,0,0,0,,,
19620704,reflexmini2,0,0,0,0,,,
22251117,lasermix,0,0,0,0,,,
30403165,gripcust,0,0,0,0,,,
22868533,smags,0,0,0,0,,,
22081070,pistolgrip01,0,0,0,0,,,
33422145,reflex2,0,0,0,0,,,
21947778,stockfold,0,0,0,0,,,
22965623,linearbrake,0,0,0,0,,,
32385187,barcust,0,0,0,0,20712314,1,
29621994,laserrange,0,0,0,0,,,
20030450,reflexmini3,0,0,0,0,,,
25652109,gripang,0,0,0,0,20712314,1,
20047102,xmagslrg,0,0,0,0,,,
21743357,pistolgrip02,0,0,0,0,,,
28994599,stockno,0,0,0,0,,,
29676983,reflex3,0,0,0,0,,,
19038542,silencer4,0,0,0,0,,,
29186848,barcust3,0,0,0,0,,,
21921637,laserbalanced,0,0,0,0,,,
19189912,gripvertpro,0,0,0,0,,,
33044337,holo,0,0,0,0,,,
25645845,fastmags2,0,0,0,0,,,
31206442,pistolgrip04,0,0,0,0,,,
31260391,stockh,0,0,0,0,24273430,1,
18995501,silencer2,0,0,0,0,,,
32285572,reflex4,0,0,0,0,24273430,1,
23580488,barcust2,0,0,0,0,24273430,1,
25902762,lasermix2,0,0,0,0,,,
23662441,gripcust2,0,0,0,0,,,
21620386,smags2,0,0,0,0,,,
29572899,acog2,0,0,0,0,,,
31793252,pistolgrip06,0,0,0,0,24273430,1,
29372666,stockcust,0,0,0,0,20712314,1,
24457624,vzscope,0,0,0,0,,,
