210000,gesture000,0,0,0,0,0,
210001,gesture001,2,1000,200,0,1,
210002,gesture002,2,1000,200,1000,1,
210003,gesture003,2,1000,200,1000,1,
210004,gesture004,2,1000,200,1000,1,
210005,gesture023,0,0,0,0,0,
210006,gesture024,2,1000,200,0,1,
210007,gesture005,2,1000,200,1000,1,
210008,gesture006,2,1000,200,1000,1,
210009,gesture007,2,1000,200,1000,1,
210010,gesture008,2,1000,200,0,0,
210011,gesture009,2,1000,200,1000,1,
210012,gesture010,2,1000,200,0,0,
210013,gesture011,2,1000,200,0,0,
210014,gesture012,3,1000,200,2000,1,
210015,gesture013,2,1000,200,0,1,
210016,gesture014,2,1000,200,1000,1,
210017,gesture015,2,1000,200,3000,1,
210018,gesture016,3,1000,200,6000,1,
210019,gesture017,2,1000,200,1000,1,
210020,gesture018,2,1000,200,0,1,
210021,gesture019,2,1000,200,5000,1,
210022,gesture020,2,1000,200,0,1,
210023,gesture021,2,1000,200,0,1,
210024,gesture022,2,1000,200,0,1,
27318965,gesture027,3,1000,200,9000,1,
26380287,gesture031,3,1000,200,9000,1,
33149128,gesture032,4,1000,200,9000,1,
29839324,gesture034,3,1000,200,9000,1,
18978324,gesture035,3,1000,200,9000,1,
29731756,gesture036,3,1000,200,9000,1,
24435261,gesture037,3,1000,200,9000,1,
28989213,gesture028,4,1000,200,9000,1,
23462790,gesture029,4,1000,200,9000,1,
32836118,gesture033,3,1000,200,9000,1,
19746222,gesture039,3,1000,200,9000,1,
26319171,gesture030,3,1000,200,9000,1,
22169170,gesture040,4,1000,200,10000,1,
29425141,gesture041,3,1000,200,9000,1,
19158441,gesture038,4,1000,200,10000,1,
23546429,gesture042,4,1000,200,10000,1,
18064244,gesture043,3,1000,200,10000,1,
33171136,gesture044,3,1000,200,10000,1,
19796943,gesture046,3,1000,200,10000,1,
31529953,gesture047,3,1000,200,10000,1,
18494854,gesture045,4,1000,200,10000,1,
