23561201,reflex,0,0,0,0,20301266,1,,,,,,,,,,,,,,,
19437836,comp,0,0,0,0,26036738,1,21401337,2,24525997,3,30126017,4,26670060,5,20721218,6,30985808,7,,,
26667540,barcust3,0,0,0,0,30294912,1,27767368,3,18030460,4,25771811,5,19296072,6,20301266,7,,,,,
19001764,laserads,0,0,0,0,31125215,1,,,,,,,,,,,,,,,
31757234,gripvert,0,0,0,0,20721218,1,,,,,,,,,,,,,,,
32864651,acog,0,0,0,0,29049151,1,,,,,,,,,,,,,,,
33175939,xmags,0,0,0,0,21401337,1,23401683,4,30985808,5,30766133,3,31929960,2,28341029,6,31125215,7,23725156,8,
19810572,pistolgrip03,0,0,0,0,24525997,1,30985808,3,23725156,4,,,,,,,,,,,
32192380,stockl,0,0,0,0,30294912,1,21401337,2,18807658,3,23725156,4,,,,,,,,,
31812210,silencer3,0,0,0,0,25771811,1,,,,,,,,,,,,,,,
28011445,holo2,0,0,0,0,29623114,1,19296072,2,28341029,3,,,,,,,,,,,
28209328,barshort,0,0,0,0,24211842,1,29049151,2,18807658,3,22091988,4,,,,,,,,,
21164523,laser,0,0,0,0,25149793,1,,,,,,,,,,,,,,,
19066143,gripcust2,0,0,0,0,24525997,1,26670060,2,19296072,4,18807658,5,31125215,6,,,,,,,
24831257,fastmags,0,0,0,0,,,,,,,,,,,,,,,,,
21170372,reflexmini,0,0,0,0,,,,,,,,,,,,,,,,,
29525113,pistolgrip05,0,0,0,0,20301266,2,,,,,,,,,,,,,,,
28493627,stocks,0,0,0,0,28341029,1,29049151,2,,,,,,,,,,,,,
29994863,silencer,0,0,0,0,27767368,1,,,,,,,,,,,,,,,
22418907,barmid,0,0,0,0,,,,,,,,,,,,,,,,,
33506755,acog2,0,0,0,0,,,,,,,,,,,,,,,,,
23505119,lasermix,0,0,0,0,,,,,,,,,,,,,,,,,
20952761,gripang,0,0,0,0,21401337,1,25771811,2,,,,,,,,,,,,,
28962634,smags,0,0,0,0,26670060,1,22091988,3,,,,,,,,,,,,,
31710681,pistolgrip01,0,0,0,0,24211842,1,,,,,,,,,,,,,,,
19893868,holo,0,0,0,0,,,,,,,,,,,,,,,,,
26373054,stockfold,0,0,0,0,30242803,1,,,,,,,,,,,,,,,
30899215,linearbrake,0,0,0,0,,,,,,,,,,,,,,,,,
18664090,barcust,0,0,0,0,26036738,1,,,,,,,,,,,,,,,
25295035,laserrange,0,0,0,0,26036738,1,24525997,2,29623114,3,,,,,,,,,,,
20538982,reflexmini2,0,0,0,0,,,,,,,,,,,,,,,,,
19376991,gripcust,0,0,0,0,23998827,1,,,,,,,,,,,,,,,
23942523,xmagslrg,0,0,0,0,27767368,2,19296072,3,23741611,4,18807658,5,,,,,,,,,
20306554,pistolgrip02,0,0,0,0,29049151,1,,,,,,,,,,,,,,,
24664664,stockno,0,0,0,0,,,,,,,,,,,,,,,,,
28647463,reflex2,0,0,0,0,,,,,,,,,,,,,,,,,
28591736,silencer4,0,0,0,0,23741611,1,28341029,2,30242803,3,,,,,,,,,,,
31977328,barlong,0,0,0,0,23401683,5,24525997,2,26670060,3,30985808,6,30766133,4,31929960,1,31125215,7,,,
28839107,laserbalanced,0,0,0,0,23401683,4,26670060,1,23741611,5,30766133,3,23725156,6,30242803,7,,,,,
29952215,gripvertpro,0,0,0,0,29623114,1,30985808,3,29049151,4,22091988,5,,,,,,,,,
24059874,acog3,0,0,0,0,,,,,,,,,,,,,,,,,
23686501,fastmags2,0,0,0,0,25149793,1,20301266,2,30242803,3,,,,,,,,,,,
32832145,pistolgrip04,0,0,0,0,23998827,1,26036738,2,,,,,,,,,,,,,
30798246,stockh,0,0,0,0,27767368,1,18030460,2,25771811,3,,,,,,,,,,,
32459012,silencer2,0,0,0,0,25149793,1,19296072,2,20301266,3,23725156,5,22091988,6,,,,,,,
18361129,vzscope,0,0,0,0,,,,,,,,,,,,,,,,,
31776344,barcust2,0,0,0,0,23741611,1,30242803,2,,,,,,,,,,,,,
30203145,lasermix2,0,0,0,0,,,,,,,,,,,,,,,,,
29523917,gripangpro,0,0,0,0,28341029,2,,,,,,,,,,,,,,,
25018431,smags2,0,0,0,0,24211842,1,25771811,2,,,,,,,,,,,,,
31114887,reflex3,0,0,0,0,,,,,,,,,,,,,,,,,
20438229,pistolgrip06,0,0,0,0,23401683,4,30766133,3,31929960,2,22091988,5,,,,,,,,,
31686778,stockcust,0,0,0,0,24211842,1,23741611,2,,,,,,,,,,,,,
29125989,thermal2,0,0,0,0,,,,,,,,,,,,,,,,,
