18452691,reflex,0,0,0,0,,,,,,,
23006386,comp,0,0,0,0,25151851,1,,,,,
23420600,barlong,0,0,0,0,,,,,,,
22511951,laserads,0,0,0,0,21116632,1,,,,,
25527667,xmags,0,0,0,0,26556599,1,27959169,3,22930712,4,
26961929,pistolgrip03,0,0,0,0,18739370,1,21116632,2,,,
33103988,stockl,0,0,0,0,22930712,1,33276591,2,,,
27352396,silencer3,0,0,0,0,33276591,1,,,,,
26576970,barshort,0,0,0,0,,,,,,,
30582081,laser,0,0,0,0,,,,,,,
31164476,pistolgrip05,0,0,0,0,,,,,,,
33516839,stocks,0,0,0,0,,,,,,,
31080944,silencer,0,0,0,0,,,,,,,
30943769,barmid,0,0,0,0,,,,,,,
22617215,lasermix,0,0,0,0,33276591,1,,,,,
26772569,pistolgrip01,0,0,0,0,,,,,,,
21948531,stockfold,0,0,0,0,,,,,,,
25350936,reflexmini,0,0,0,0,19504365,1,26687206,2,27959169,3,
18609115,linearbrake,0,0,0,0,,,,,,,
22587789,barcust,0,0,0,0,19504365,1,26687206,2,22930712,3,
28508063,laserrange,0,0,0,0,26556599,1,19504365,2,22930712,3,
26380086,xmagslrg,0,0,0,0,19504365,1,26687206,3,33276591,4,
31472020,pistolgrip02,0,0,0,0,27959169,2,,,,,
27751214,stockno,0,0,0,0,18739370,1,,,,,
24795035,silencer4,0,0,0,0,27959169,1,,,,,
19317309,barcust3,0,0,0,0,26556599,1,27959169,2,21116632,3,
30334308,laserbalanced,0,0,0,0,26687206,3,25151851,4,,,
30027128,pistolgrip04,0,0,0,0,26687206,1,22930712,2,25151851,3,
22114882,stockh,0,0,0,0,19504365,1,,,,,
19525086,silencer2,0,0,0,0,,,,,,,
26602851,barcust2,0,0,0,0,33276591,3,25151851,4,,,
32549785,lasermix2,0,0,0,0,,,,,,,
27112500,pistolgrip06,0,0,0,0,,,,,,,
30926614,stockcust,0,0,0,0,26556599,1,21116632,2,,,
23600588,reflexmini2,0,0,0,0,,,,,,,
