31638327,reflexmini,0,0,0,0,23044363,1,,,,,,,,,,,
18178006,comp,0,0,0,0,18422342,1,27959425,2,30552617,3,,,,,,,
31767836,barlong,0,0,0,0,,,,,,,,,,,,,
17839639,laserads,0,0,0,0,22968203,1,,,,,,,,,,,
25962324,gripvert,0,0,0,0,18522050,1,28867554,2,,,,,,,,,
23238450,reflex,0,0,0,0,21836897,1,,,,,,,,,,,
28434967,xmags,0,0,0,0,26104305,2,,,,,,,,,,,
28057116,pistolgrip03,0,0,0,0,23044363,1,28867554,2,21836897,3,,,,,,,
29742369,stockl,0,0,0,0,29195157,1,28867554,2,,,,,,,,,
28229970,silencer3,0,0,0,0,21096598,1,,,,,,,,,,,
26420133,holo2,0,0,0,0,18522050,1,21096598,2,,,,,,,,,
22173622,barshort,0,0,0,0,28867554,1,26104305,2,22260149,3,31463296,4,19370866,5,,,
19666418,laser,0,0,0,0,,,,,,,,,,,,,
30185887,gripangpro,0,0,0,0,29195157,1,27361450,2,32992540,3,33404343,4,,,,,
17861633,fastmags,0,0,0,0,22532231,1,30052134,2,21096598,3,,,,,,,
17825890,acog,0,0,0,0,,,,,,,,,,,,,
31534484,pistolgrip05,0,0,0,0,22532231,1,25160381,2,,,,,,,,,
24984172,stocks,0,0,0,0,18522050,1,22968203,2,25160381,3,32992540,4,30052134,5,33404343,6,
29080414,silencer,0,0,0,0,27361450,1,25160381,3,33404343,4,,,,,,,
25607338,barmid,0,0,0,0,,,,,,,,,,,,,
18147274,reflexmini2,0,0,0,0,,,,,,,,,,,,,
22531772,lasermix,0,0,0,0,,,,,,,,,,,,,
25028898,gripcust,0,0,0,0,22532231,2,31463296,3,,,,,,,,,
27276289,smags,0,0,0,0,25839695,1,18422342,2,,,,,,,,,
29621403,pistolgrip01,0,0,0,0,30052134,1,,,,,,,,,,,
29054130,reflex2,0,0,0,0,,,,,,,,,,,,,
22888921,stockfold,0,0,0,0,25839695,2,21836897,3,,,,,,,,,
18232371,linearbrake,0,0,0,0,,,,,,,,,,,,,
27715487,barcust,0,0,0,0,21836897,2,21096598,3,,,,,,,,,
20016492,laserrange,0,0,0,0,27361450,1,31463296,2,,,,,,,,,
28486332,reflexmini3,0,0,0,0,,,,,,,,,,,,,
27474937,gripang,0,0,0,0,26104305,2,25160381,3,30052134,4,,,,,,,
23035738,xmagslrg,0,0,0,0,22260149,2,32992540,3,19370866,4,33404343,5,,,,,
25274676,pistolgrip02,0,0,0,0,,,,,,,,,,,,,
27798419,stockno,0,0,0,0,27959425,1,,,,,,,,,,,
25214966,reflex3,0,0,0,0,18422342,1,27959425,2,,,,,,,,,
19679101,silencer4,0,0,0,0,25839695,1,30052134,2,19370866,3,,,,,,,
19408230,barcust3,0,0,0,0,,,,,,,,,,,,,
28645744,laserbalanced,0,0,0,0,27959425,3,,,,,,,,,,,
32027901,gripvertpro,0,0,0,0,19370866,3,,,,,,,,,,,
23280390,holo,0,0,0,0,27361450,1,30552617,3,,,,,,,,,
25334722,fastmags2,0,0,0,0,,,,,,,,,,,,,
23249000,pistolgrip04,0,0,0,0,18422342,1,26104305,2,27959425,3,30552617,4,33404343,5,,,
30416533,stockh,0,0,0,0,18422342,3,26104305,4,31463296,5,21096598,6,,,,,
30059778,silencer2,0,0,0,0,23044363,1,32992540,2,,,,,,,,,
25879532,reflex4,0,0,0,0,,,,,,,,,,,,,
23446610,barcust2,0,0,0,0,,,,,,,,,,,,,
24221540,lasermix2,0,0,0,0,30552617,1,,,,,,,,,,,
21872943,gripcust2,0,0,0,0,,,,,,,,,,,,,
30720347,smags2,0,0,0,0,22968203,1,27164645,2,21836897,3,31463296,4,,,,,
31199132,acog2,0,0,0,0,27164645,1,22532231,2,,,,,,,,,
32583341,pistolgrip06,0,0,0,0,22968203,1,25839695,2,,,,,,,,,
19554368,stockcust,0,0,0,0,23044363,1,22260149,2,30552617,3,,,,,,,
21163772,vzscope,0,0,0,0,,,,,,,,,,,,,
