setchancecol,mp/loot/br/rumble/lootset_global.csv,3,# global,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_named_Location.csv,4,# named_Location,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_extra_plunder.csv,5,# extra_plunder,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_superstore.csv,6,# superstore,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_base.csv,7,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_lege.csv,8,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_pe_chop.csv,9,# cache_pe_chop,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_contract_asn.csv,10,# contract_asn,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_contract_dom.csv,11,# contract_dom,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_contract_scav1.csv,12,# contract_scav1,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_contract_scav2.csv,13,# contract_scav2,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_contract_scav3.csv,14,# contract_scav3,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_bunkers.csv,15,# bunkers,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_empty.csv,16,# N/A,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_zom.csv,17,# cache_zom,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_event.csv,18,# cache_easterevent,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_satellite.csv,19,# cache_satellite,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_global_event.csv,20,# global_event,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_named_Location_event.csv,21,# named_Location_event,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cntrlroom.csv,22,# cntrlroom,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_reddoor.csv,23,# cache_reddoor,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_lottery_cntrlroom.csv,24,# lottery_cntrlroom,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_cache_pow.csv,25,# cache_pow,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/rumble/lootset_pow_camp.csv,26,# pow_camp,,,,,,,,,,,,,,,,,,,,,,,,
Central Control,,,,,,,,,,,,,,,,,,,,,,,,,,,
chance,ammo,,33,33,33,33,2,2,2,2,2,2,2,2,33,0,2,2,2,33,33,33,2,33,2,33,
chance,health,,10,10,10,10,31,31,31,31,31,31,31,31,10,0,31,31,31,10,10,10,31,10,31,10,
chance,plunder,,15,15,15,15,2,2,2,2,2,2,2,2,15,0,2,2,2,15,15,15,2,15,15,5,
chance,killstreak,,0,0,0,0,3,3,3,3,3,3,3,3,5,0,3,3,3,0,0,5,3,5,6,5,
chance,lethal,,7,7,7,7,13,13,13,13,13,13,13,13,7,0,13,13,13,7,7,7,13,10,20,20,
chance,tactical,,7,7,7,7,13,13,13,13,13,13,13,13,7,0,13,13,13,7,7,7,13,10,13,7,
chance,super,,3,3,3,3,20,20,20,20,20,20,20,20,3,0,20,20,20,3,3,3,20,3,20,3,
