0,29300796|23747383|32961013|28252593|28803709,118436679385523270,t9_ch_pistol_fullauto_t9_ekia,0,25446361,132409413524623351,t9_ch_pistol_fullauto_t9_challenges,0,24713696,139812183964841482,t9_ch_weapon_pistol_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,26924053,,,1,,,,,,,,,,,,,,,,,,
2,23104407,,,1,,,,,,,,,,,,,,,,,,
3,25450063,,,1,,,,,,,,,,,,,,,,,,
4,31885721,,,1,21234292|17798663|23707186|25627187|31821551,143391056768005895,t9_ch_pistol_fullauto_t9_headshots,1,,,,,,,,,,,,,,
5,32155590,,,1,,,,,,,,,,,,,,,,,,
6,20521587,,,2,,,,,,,,,,,,,,,,,,
7,19847498,,,2,,,,,,,,,,,,,,,,,,
8,27537355,,,2,8301025,,,2,,,,,,,,,,,,,,
9,18605453,,,2,20688947|19487627|30911106|22520247|20247396,102161548481474695,t9_ch_pistol_fullauto_t9_killstreak_5,2,,,,,,,,,,,,,,
10,21869878,,,2,,,,,,,,,,,,,,,,,,
11,20870820,,,3,,,,,,,,,,,,,,,,,,
12,26507418,,,3,,,,,,,,,,,,,,,,,,
13,19307757,,,3,8301026,,,3,,,,,,,,,,,,,,
14,32208410,,,3,28773629|20093976|28803438|25322442|27203924,116098997666765328,t9_ch_pistol_fullauto_t9_longshot_kill,3,,,,,,,,,,,,,,
15,31804640,,,3,,,,,,,,,,,,,,,,,,
16,27545380,,,4,,,,,,,,,,,,,,,,,,
17,29735294,,,4,,,,,,,,,,,,,,,,,,
18,18419379,,,4,8301027,,,4,,,,,,,,,,,,,,
19,21177830,,,4,31385286|27843063|20018174|21996656|26411419,97878788446409027,t9_ch_pistol_fullauto_t9_kill_detected_stunned_blinded,4,,,,,,,,,,,,,,
20,18597120,,,4,,,,,,,,,,,,,,,,,,
21,29428279,,,5,,,,,,,,,,,,,,,,,,
22,32925114,,,5,,,,,,,,,,,,,,,,,,
23,23337537,,,5,8301028,,,5,,,,,,,,,,,,,,
24,17915746,,,5,18977192|32107535|25426118|31412927|27716310,128325278745195166,t9_ch_pistol_fullauto_t9_kill_enemy_taking_cover_from_you,5,,,,,,,,,,,,,,
25,19763718,,,5,,,,,,,,,,,,,,,,,,
26,30160410,,,6,,,,,,,,,,,,,,,,,,
27,25413635,,,6,,,,,,,,,,,,,,,,,,
28,25339694,,,6,8301029,,,6,,,,,,,,,,,,,,
29,32638327,,,6,30185087|20816194|31115093|20345811|22812570,111490290769979971,t9_ch_pistol_fullauto_t9_multikill_2,6,,,,,,,,,,,,,,
30,32580249,,,6,,,,,,,,,,,,,,,,,,
31,28930195,,,7,,,,,,,,,,,,,,,,,,
32,19551340,,,7,,,,,,,,,,,,,,,,,,
33,22943279,,,7,,,,,,,,,,,,,,,,,,
34,30730239,,,7,,,,,,,,,,,,,,,,,,
