0,22606688|19283447|20518694|18756208|30524876,131709111678840930,t9_ch_melee_baseballbat_t9_kills,0,26189760,84156833584001934,t9_ch_melee_baseballbat_t9_challenges,0,19643773,,,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,30463055|25882367|21180128|20298719|21592931,73552964828504229,t9_ch_melee_baseballbat_t9_backstabber_kill,1,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,19931507|25540543|29792653|30045190|20225240,75689517442153209,t9_ch_melee_baseballbat_t9_finishing_move_kill,2,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
14,30704751|19285986|31367558|30466950|18954410,127223319142124666,t9_ch_melee_baseballbat_t9_kill_enemy_when_injured,3,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,23916564|21710906|19010257|22225308|22482662,100650090009385759,t9_ch_melee_baseballbat_t9_kill_enemy_while_sliding,4,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,19643449|27069051|31287636|29249818|31447428,92937147888726194,t9_ch_melee_baseballbat_t9_kill_smoked_blinded_stunned,5,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,21136626|27897258|18734010|22300045|20288960,92816838526150386,t9_ch_melee_baseballbat_t9_multikill_2,6,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,
