0,iw8_sm_t9standard_variant_0,iw8_sm_t9standard,,,,,,,,,,,,,,,WEAPON_TANGO/SM_T9STANDARD,ui_loot_weapon_sm_t9standard,,,,
1,iw8_sm_t9standard_variant_1,iw8_sm_t9standard,iw8_sm_t9standard_mpmtx,rec|1 front|1 back|1 mag|1,silencer2|1,,,gripvert|0,reflexmini|1,,pistolgrip03|1,stockcust|1,,,,,WEAPON_TANGO/SM_T9STANDARD_V2,ui_loot_weapon_sm_t9standard_v1,,red,,
2,iw8_sm_t9standard_variant_2,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|2 front|2 back|2 mag|2,,,,gripangpro|1,,xmagslrg|0,,stockl|1,,,,,WEAPON_TANGO/SM_T9STANDARD_V3,ui_loot_weapon_sm_t9standard_v2,,,,
3,iw8_sm_t9standard_variant_3,iw8_sm_t9standard,iw8_sm_t9standard_mpdmb,rec|3 front|3 back|3 mag|3,linearbrake|0,,,gripvert|1,holo2|1,xmags|0,,stocks|1,,,,,WEAPON_TANGO/SM_T9STANDARD_V4,ui_loot_weapon_sm_t9standard_v3,,,standardDis,
4,iw8_sm_t9standard_variant_4,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|4 front|4 back|4 mag|4,,barshort|1,,gripvert|2,,,pistolgrip03|2,stockl|2,,,,,WEAPON_TANGO/SM_T9STANDARD_V5,ui_loot_weapon_sm_t9standard_v4,,,,
5,iw8_sm_t9standard_variant_5,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|5 front|5 back|5 mag|5,silencer|1,,laserrange|1,gripangpro|2,holo|1,,,,,,,,WEAPON_TANGO/SM_T9STANDARD_V6,ui_loot_weapon_sm_t9standard_v5,,,,
6,iw8_sm_t9standard_variant_6,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|6 front|6 back|6 mag|6,,,laserads|1,,,smags2|1,pistolgrip06|1,stocks|2,,,,,WEAPON_TANGO/SM_T9STANDARD_V7,ui_loot_weapon_sm_t9standard_v6,,,,
7,iw8_sm_t9standard_variant_7,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|7 front|7 back|7 mag|7,,,,,,,,,,,,,WEAPON_TANGO/SM_T9STANDARDCB,ui_loot_weapon_sm_t9standard_v7,,,,
8,iw8_sm_t9standard_variant_8,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|8 front|8 back|8 mag|8,,,laserads|0,gripang|0,acog2|1,smags2|2,pistolgrip05|0,,,,,,WEAPON_VICTOR/SM_T9STANDARD_V8,ui_loot_weapon_sm_t9standard_v8,,,,
9,iw8_sm_t9standard_variant_9,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|9 front|9 back|9 mag|9,,,,gripcust|2,acog2|2,fastmags|1,pistolgrip05|1,,,,,,WEAPON_VICTOR/SM_T9STANDARD_V9,ui_loot_weapon_sm_t9standard_v9,,,,
10,iw8_sm_t9standard_variant_10,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|10 front|10 back|10 mag|10,silencer4|1,,,,,smags|1,pistolgrip06|2,stockfold|2,,,,,WEAPON_VICTOR/SM_T9STANDARD_V10,ui_loot_weapon_sm_t9standard_v10,,,,
