0,iw8_sn_t9precisionsemi_variant_0,iw8_sn_t9precisionsemi,,,,,,,,,,,,,,,WEAPON_TANGO/SN_T9PRECISIONSEMI,ui_loot_weapon_sn_t9precisionsemi,
1,iw8_sn_t9precisionsemi_variant_1,iw8_sn_t9precisionsemi,,rec|1 front|1 mag|1 back|1,silencer|0,barcust3|0,,gripvert|0,,xmags|0,,,,,,,WEAPON_TANGO/SN_T9PRECISIONSEMI_V2,ui_loot_weapon_sn_t9precisionsemi_v1,
2,iw8_sn_t9precisionsemi_variant_2,iw8_sn_t9precisionsemi,,rec|2 front|2 mag|2 back|2,,barcust3|0,,,,xmags|1,pistolgrip03|0,stockfold|1,,,,,WEAPON_TANGO/SN_T9PRECISIONSEMI_V3,ui_loot_weapon_sn_t9precisionsemi_v2,
3,iw8_sn_t9precisionsemi_variant_3,iw8_sn_t9precisionsemi,,rec|3 front|3 mag|3 back|3,,,,,acog4|1,fastmags2|1,,stockcust|1,,,,,WEAPON_VICTOR/SN_T9PRECISIONSEMI_V4,ui_loot_weapon_sn_t9precisionsemi_v3,
4,iw8_sn_t9precisionsemi_variant_4,iw8_sn_t9precisionsemi,,rec|4 front|4 mag|4 back|4,silencer4|1,barlong|1,,,,,pistolgrip05|1,stockfold|2,,,,,WEAPON_VICTOR/SN_T9PRECISIONSEMI_V5,ui_loot_weapon_sn_t9precisionsemi_v4,
5,iw8_sn_t9precisionsemi_variant_5,iw8_sn_t9precisionsemi,iw8_sn_t9precisionsemi_mpdmb,rec|5 front|5 mag|5 back|5,,barlong|2,laserrange|0,gripangpro|0,,xmags|2,,,,,,,WEAPON_XRAY/SN_T9PRECISIONSEMI_V6,ui_loot_weapon_sn_t9precisionsemi_v5,
6,iw8_sn_t9precisionsemi_variant_6,iw8_sn_t9precisionsemi,,rec|6 front|6 mag|6 back|6,,,laserrange|1,,acog4|2,smags2|1,pistolgrip06|1,,,,,,WEAPON_XRAY/SN_T9PRECISIONSEMI_V7,ui_loot_weapon_sn_t9precisionsemi_v6,
7,iw8_sn_t9precisionsemi_variant_7,iw8_sn_t9precisionsemi,,rec|7 front|7 mag|7 back|7,silencer|1,,,gripvertpro|2,,xmagslrg|2,pistolgrip06|2,,,,,,WEAPON_YANKEE/SN_T9PRECISIONSEMI_V8,ui_loot_weapon_sn_t9precisionsemi_v7,
8,iw8_sn_t9precisionsemi_variant_8,iw8_sn_t9precisionsemi,,rec|8 front|8 mag|8 back|8,silencer4|0,,lasermix2|0,,,fastmags|1,pistolgrip02|0,stockl|1,,,,,WEAPON_YANKEE/SN_T9PRECISIONSEMI_V9,ui_loot_weapon_sn_t9precisionsemi_v8,
9,iw8_sn_t9precisionsemi_variant_9,iw8_sn_t9precisionsemi,,rec|9 front|9 mag|9 back|9,silencer2|0,barcust|1,,,acog2|0,xmags|0,,,,,,,WEAPON_ZULU/SN_T9PRECISIONSEMI_V10,ui_loot_weapon_sn_t9precisionsemi_v9,
10,iw8_sn_t9precisionsemi_variant_10,iw8_sn_t9precisionsemi,,rec|10 front|10 mag|10 back|10,silencer2|1,,,gripangpro|2,acog2|1,xmagslrg|3,,,,,,,WEAPON_ZULU/SN_T9PRECISIONSEMI_V11,ui_loot_weapon_sn_t9precisionsemi_v10,
11,iw8_sn_t9precisionsemi_variant_11,iw8_sn_t9precisionsemi,,rec|11 front|11 mag|11 back|11,silencer|2,,laserrange|2,gripangpro|3,acog4|3,,pistolgrip02|0,,,,,,WEAPON_ZULU/SN_T9PRECISIONSEMI_V12,ui_loot_weapon_sn_t9precisionsemi,
12,iw8_sn_t9precisionsemi_variant_12,iw8_sn_t9precisionsemi,,rec|12 front|12 mag|12 back|12,,,,gripvertpro|3,,xmags|3,pistolgrip04|1,stockl|2,,,,,WEAPON_ACTOR/SN_T9PRECISIONSEMI_V13,ui_loot_weapon_sn_t9precisionsemi,
